,pincode,state,latitude,longitude
145,401604,Maharashtra,19.8535,73.3754
146,401605,Maharashtra,19.8244,73.0453
147,401606,Maharashtra,20.1434,72.8945
148,401607,Maharashtra,19.8973,72.9385
149,401608,Maharashtra,19.9403,72.7685
150,401609,Maharashtra,19.967,72.9987
151,401610,Maharashtra,20.0435,72.9911
152,401701,Maharashtra,20.0952,72.7767
153,401702,Maharashtra,20.0739,72.735
154,401703,Maharashtra,20.0173,72.8006
155,402101,Maharashtra,18.0791,73.2239
156,402102,Maharashtra,18.1152,73.3532
157,402103,Maharashtra,18.1512,73.3105
158,402104,Maharashtra,18.2465,73.2842
159,402105,Maharashtra,18.1376,73.1201
160,402106,Maharashtra,18.5586,73.1583
161,402107,Maharashtra,18.7203,73.1168
162,402108,Maharashtra,18.6588,73.0117
163,402109,Maharashtra,18.4221,73.0641
164,402110,Maharashtra,18.0424,73.0658
165,402111,Maharashtra,18.2695,73.127
166,402112,Maharashtra,18.3283,73.2042
167,402113,Maharashtra,18.1006,73.0208
168,402114,Maharashtra,18.0002,73.038
169,402115,Maharashtra,18.0523,73.3569
170,402116,Maharashtra,18.4227,73.1598
171,402117,Maharashtra,18.1946,73.2469
172,402118,Maharashtra,18.7436,73.0149
173,402120,Maharashtra,18.3373,73.3538
174,402122,Maharashtra,18.1737,73.2003
175,402125,Maharashtra,18.5356,73.1065
176,402126,Maharashtra,18.4973,73.1863
177,402201,Maharashtra,18.7309,72.9373
178,402202,Maharashtra,18.4942,72.938
179,402203,Maharashtra,18.559,72.996
180,402204,Maharashtra,18.62,72.9332
181,402207,Maharashtra,18.6879,72.8667
182,402208,Maharashtra,18.7371,72.8881
183,402209,Maharashtra,18.6467,72.9087
184,402301,Maharashtra,18.0493,73.4133
185,402302,Maharashtra,18.1404,73.5215
186,402303,Maharashtra,17.9695,73.5263
187,402304,Maharashtra,18.4328,73.2323
188,402305,Maharashtra,18.2221,73.423
189,402306,Maharashtra,18.1433,73.5899
190,402307,Maharashtra,17.9273,73.402
191,402308,Maharashtra,18.4189,73.3298
192,402309,Maharashtra,18.0855,73.4533
193,402401,Maharashtra,18.3623,72.9752
194,402402,Maharashtra,18.2458,72.969
195,402403,Maharashtra,18.2098,72.9872
196,402404,Maharashtra,18.1347,73.0208
197,402406,Maharashtra,18.3785,72.9311
198,410101,Maharashtra,19.0631,73.3433
199,410102,Maharashtra,18.9893,73.2714
200,410201,Maharashtra,18.9849,73.4178
201,410202,Maharashtra,18.8341,73.2906
202,410203,Maharashtra,18.7583,73.29
203,410204,Maharashtra,18.7982,73.3628
204,410205,Maharashtra,18.5914,73.2746
205,410206,Maharashtra,18.9661,73.1448
206,410207,Maharashtra,18.8517,73.1562
207,410208,Maharashtra,19.0859,73.0976
208,410209,Maharashtra,19.0186,73.1012
209,410210,Maharashtra,19.0546,73.067
210,410216,Maharashtra,18.8015,73.3414
211,410218,Maharashtra,19.039,73.0996
212,410220,Maharashtra,18.8477,73.2133
213,410221,Maharashtra,18.9135,73.1414
214,410222,Maharashtra,18.8923,73.1865
215,410301,Maharashtra,18.7692,73.5733
216,410302,Maharashtra,18.7687,73.3737
217,410401,Maharashtra,18.6256,73.3844
218,410402,Maharashtra,18.7378,73.3845
219,410403,Maharashtra,18.7549,73.4393
220,410405,Maharashtra,18.7851,73.4862
221,410406,Maharashtra,18.6566,73.4813
222,410501,Maharashtra,18.7754,73.837
223,410502,Maharashtra,19.2208,73.7894
224,410503,Maharashtra,19.0074,73.9368
225,410504,Maharashtra,19.073,74.067
226,410505,Maharashtra,18.8871,73.8094
227,410506,Maharashtra,18.6662,73.6333
228,410507,Maharashtra,18.7661,73.704
229,410508,Maharashtra,18.919,74.0593
230,410509,Maharashtra,19.1219,73.6443
231,410510,Maharashtra,18.8853,74.0859
232,410511,Maharashtra,19.217,73.919
233,410512,Maharashtra,18.9422,73.9148
234,410513,Maharashtra,18.9537,73.833
235,410515,Maharashtra,19.0701,73.9225
236,410516,Maharashtra,19.0895,73.7812
