Pincode,MMI State,latitude,longitude
517350,Andhra Pradesh,13.7298,78.4872
517351,Andhra Pradesh,13.7438,78.3681
516269,Andhra Pradesh,14.0474,78.7343
516214,Andhra Pradesh,13.9475,78.6596
516110,Andhra Pradesh,14.0755,79.3998
516104,Andhra Pradesh,14.1957,79.3653
516128,Andhra Pradesh,14.2504,79.2678
516115,Andhra Pradesh,14.181,79.1117
516267,Andhra Pradesh,14.0628,78.534
517291,Andhra Pradesh,13.6858,78.6223
517305,Andhra Pradesh,13.8453,78.654
517299,Andhra Pradesh,13.6401,78.6699
517297,Andhra Pradesh,13.8339,78.5841
517236,Andhra Pradesh,13.8396,78.7924
517235,Andhra Pradesh,13.7629,78.7709
517234,Andhra Pradesh,13.5965,78.8358
517237,Andhra Pradesh,13.6986,78.7952
517213,Andhra Pradesh,13.7987,78.902
517214,Andhra Pradesh,13.7496,78.9896
516105,Andhra Pradesh,14.0477,79.3301
516101,Andhra Pradesh,13.8732,79.3385
517352,Andhra Pradesh,13.6352,78.4941
516257,Andhra Pradesh,14.1823,78.6627
516270,Andhra Pradesh,14.0982,78.7484
516504,Andhra Pradesh,14.2309,78.8195
517319,Andhra Pradesh,13.6236,78.5655
517417,Andhra Pradesh,13.4027,78.4408
517325,Andhra Pradesh,13.5616,78.5175
517390,Andhra Pradesh,13.8417,78.3148
516150,Andhra Pradesh,14.2211,79.0532
516151,Andhra Pradesh,14.3311,79.1912
517280,Andhra Pradesh,13.5498,78.6713
516108,Andhra Pradesh,13.9913,79.2222
517391,Andhra Pradesh,13.7186,78.1546
517418,Andhra Pradesh,13.8659,78.4491
516127,Andhra Pradesh,14.3931,79.2821
516107,Andhra Pradesh,14.09,79.1421
516126,Andhra Pradesh,14.2068,79.1616
516268,Andhra Pradesh,14.1367,78.9005
517247,Andhra Pradesh,13.3626,78.5808
516215,Andhra Pradesh,13.9353,78.7914
516130,Andhra Pradesh,13.9711,78.9115
516129,Andhra Pradesh,13.9838,79.0172
517277,Andhra Pradesh,13.6487,78.744
523201,Andhra Pradesh,15.8447,79.9414
523260,Andhra Pradesh,15.9245,80.0273
523263,Andhra Pradesh,15.6731,79.9127
523264,Andhra Pradesh,15.72,79.8449
523212,Andhra Pradesh,15.7239,80.0365
522325,Andhra Pradesh,16.1198,80.6409
522341,Andhra Pradesh,16.0833,80.5957
522312,Andhra Pradesh,16.1403,80.6016
522313,Andhra Pradesh,16.1936,80.6322
523303,Andhra Pradesh,15.994,79.951
523301,Andhra Pradesh,16.008,80.1048
523302,Andhra Pradesh,16.1068,79.9561
522101,Andhra Pradesh,15.9044,80.4387
522102,Andhra Pradesh,15.8946,80.4771
522310,Andhra Pradesh,15.9888,80.4848
522113,Andhra Pradesh,15.9558,80.44
522317,Andhra Pradesh,15.9346,80.4119
522256,Andhra Pradesh,16.0913,80.7526
522257,Andhra Pradesh,16.0952,80.8209
